,,,上客,,,,,下客
3789,106451816,29566969,686.780957,,109-1,经度,维度,31689.35057
3867,106471928,29554761,776.61946,,23614,106567453,29556302,494.793809
3868,106464083,29556432,1151.487321,,23615,106561628,29558084,834.08344
3869,106459644,29561230,1095.232963,,23616,106550507,29557741,1272.733443
3870,106458278,29564364,1020.995612,,23617,106543841,29555537,1411.318406
3871,106458888,29567096,877.590611,,23618,106539642,29553968,1806.469876
3872,106459630,29569430,950.334209,,23619,106530313,29550332,1758.72648
3873,106457537,29573114,967.294498,,23620,106522835,29544970,1993.783363
3874,106453320,29575471,1005.462668,,23621,106512148,29543566,1663.278383
3875,106452388,29577932,921.467229,,23622,106504213,29540693,1576.607462
3876,106445624,29580296,421.966483,,23623,106501086,29538985,1427.811805
3878,106444039,29580234,364.844653,,23624,106493342,29538008,1456.775806
3879,106446662,29580708,869.60379,,23625,106485525,29536226,1479.632428
3880,106452884,29577363,1006.889331,,23626,106481619,29535529,1535.889314
3881,106453597,29575276,1035.219646,,23627,106482714,29528456,1256.187741
3882,106458178,29572244,900.415729,,23628,106478894,29525842,1141.33866
3883,106458409,29566284,961.987011,,23629,106473328,29524259,1173.960676
3884,106458297,29563364,945.057741,,23630,106471703,29523270,1546.103426
3885,106457091,29557353,737.468845,,23631,106466830,29520322,1598.750968
3887,106476644,29531092,1452.656883,,23632,106469330,29513618,1712.813118
3888,106473326,29528109,1625.193577,,23634,106459346,29506496,1592.420496
3889,106468091,29523556,1827.750406,,23635,106469864,29507611,1173.735402
3890,106461853,29522359,2032.075402,,45941,106570073,29555697,1782.136067
3891,106453373,29521494,1901.157689,,109-2,经度,维度,31449.23406
3892,106446260,29527247,1594.592874,,23637,106458383,29510509,1205.90801
3893,106438888,29520968,1632.409403,,23638,106461530,29514135,1420.820043
3894,106436708,29517633,1463.637252,,23639,106466816,29520312,1736.897875
3895,106436951,29514843,1401.310132,,23640,106471703,29523270,1587.802124
3896,106436688,29509686,1097.656486,,23641,106473761,29524438,1374.291443
3897,106435807,29505564,1515.298927,,23642,106478857,29524542,1455.372567
3898,106435516,29500353,2263.515801,,23643,106482693,29528479,1601.773116
3899,106434514,29492041,2323.585072,,23644,106479413,29531915,1292.005347
3900,106433034,29486801,2084.78742,,23645,106478775,29534010,1285.517241
3901,106432150,29482861,1856.312089,,23646,106487812,29536658,1503.821819
3902,106431133,29477639,1655.620971,,23647,106494243,29538227,1654.431001
3903,106430839,29473497,1522.722603,,23648,106502216,29539614,1745.757746
3904,106429903,29467334,1142.787627,,23649,106504682,29540951,1932.041391
3906,106429741,29465108,914.916042,,23650,106512148,29543566,2180.944859
3907,106429903,29467334,1350.688383,,23651,106522835,29544970,2685.726924
3908,106430839,29473497,1506.729417,,23652,106529243,29550774,2492.284724
3909,106431144,29477832,1932.553892,,23653,106539642,29553968,1405.74045
3910,106432150,29482861,2213.23252,,23654,106550041,29557498,975.78081
3911,106433034,29486801,2216.551372,,23655,106561554,29558094,547.577953
3912,106434514,29492041,2265.954566,,52092,106547039,29554875,1364.738619
3913,106435516,29500353,1678.960546,,110-1,经度,维度,3346.471641
3914,106435807,29505564,1560.596243,,47103,106503607,29581640,214.484055
3915,106436688,29509680,1599.646492,,47104,106529499,29589775,221.286975
3916,106436951,29514843,1624.334942,,47105,106497152,29577687,203.407124
3917,106436708,29517633,1829.50175,,47106,106487703,29572115,191.196598
3918,106438888,29520968,1912.170461,,47107,106481943,29572596,252.150451
3919,106440264,29523260,1807.034902,,47108,106479431,29578741,239.729398
3920,106453596,29521427,1921.700189,,47109,106479186,29581308,230.865635
3921,106461853,29522359,1725.018563,,47110,106476884,29582654,225.234056
3922,106470069,29524149,1581.589105,,47112,106550023,29587199,110.02827
3923,106471964,29526314,651.28244,,47114,106541077,29588574,180.707976
4067,106429903,29467334,1954.583967,,47115,106535073,29591199,212.59398
4068,106437766,29459446,2025.131963,,47116,106527010,29587319,150.212566
4069,106438812,29451080,1327.610114,,47117,106520777,29586170,215.526418
4070,106439518,29455931,1719.383483,,47118,106508505,29585944,185.199776
4071,106442597,29463169,1847.40084,,47119,106555738,29584226,189.852476
4073,106449836,29472689,2804.933559,,52094,106543950,29587665,189.74176
4074,106462560,29472376,3307.810544,,52095,106471892,29583242,134.254127
4075,106472690,29475058,1928.80857,,110-2,经度,维度,2262.745905
4076,106473747,29473772,1560.788989,,45752,106514101,29586029,139.267327
4077,106478313,29472821,1330.772225,,45753,106504358,29583544,126.344212
4078,106481236,29475289,1646.537138,,45754,106502201,29580075,122.817897
4079,106480619,29478862,1793.483816,,45755,106496597,29577200,106.752937
4080,106483334,29482948,1752.392744,,45756,106487963,29572157,130.176813
4081,106484870,29486680,1800.0586,,45757,106481183,29572848,136.124182
4082,106483134,29491831,1891.881087,,45758,106479499,29578047,130.229445
4083,106482362,29494566,2148.612566,,45759,106476578,29582689,115.600953
4084,106484108,29498409,2434.855941,,45761,106469196,29583606,109.124219
4085,106496436,29502492,2250.247322,,45762,106544206,29587242,122.739787
4086,106503706,29501883,1643.476936,,45763,106541301,29588131,150.357726
4087,106506390,29503234,1751.849266,,45764,106535073,29591199,169.97481
4089,106547199,29465490,794.008013,,45765,106529661,29589614,145.7986
4090,106539375,29466887,1136.88552,,45766,106527010,29587319,174.044082
4091,106539252,29459000,1275.579132,,45767,106521620,29585980,152.453512
4092,106538828,29455291,1512.175765,,45768,106550005,29587196,119.168406
4093,106532223,29457328,1351.730583,,46027,106471612,29583275,111.770997
4094,106527075,29460725,1563.498166,,111-1,经度,维度,19080.71365
4095,106524248,29471482,2266.411324,,30925,106569469,29562282,508.619144
4096,106530330,29483372,1743.959174,,30926,106565105,29564378,1077.623082
4097,106536047,29485933,1410.358209,,30927,106563730,29575997,2195.636518
4098,106539466,29491608,1515.533997,,30928,106562801,29580887,1861.948755
4099,106538398,29493851,2053.500406,,30929,106550061,29587204,1756.093454
4100,106535081,29496576,2395.058899,,30930,106544206,29587242,1328.865231
4101,106521582,29501941,1892.430864,,30931,106541301,29588131,1405.294349
4102,106514421,29507343,1398.77035,,30932,106535073,29591199,1529.627188
4206,106382640,29590390,375.779884,,30933,106529661,29589614,1630.861974
4207,106380981,29597371,464.200936,,30934,106527010,29587319,1543.899384
4208,106371103,29601500,484.165191,,30935,106521600,29590479,1502.359814
4209,106367644,29601846,720.022373,,30936,106517714,29595044,1353.883509
4210,106352516,29601991,736.811847,,30937,106512500,29596505,999.900259
4211,106335208,29601341,709.512189,,30938,106510976,29591082,386.100993
4212,106327404,29601213,699.65047,,111-2,经度,维度,21854.44711
4213,106316795,29601136,636.462106,,30704,106576387,29563161,495.557657
4214,106306144,29601245,607.656846,,30705,106576610,29565087,795.702179
4215,106303369,29594778,525.920004,,30706,106568596,29563149,1507.369974
4217,106308808,29590751,255.145472,,30707,106565105,29564378,2229.135405
4219,106313631,29580280,692.878141,,30708,106563871,29577184,1950.117384
4220,106313709,29590148,777.471958,,30709,106562764,29580948,1608.416741
4221,106306697,29590911,788.761352,,30711,106549940,29587186,1583.422864
4222,106303354,29594295,688.378044,,30712,106544282,29587559,1786.446121
4223,106306144,29601245,764.241868,,30713,106531112,29591351,1671.284623
4224,106316806,29601136,769.382609,,30714,106524544,29586793,1440.647013
4225,106327404,29601213,751.43524,,30715,106521600,29590479,1365.240593
4226,106335681,29601349,733.391372,,30716,106522448,29594695,1255.389373
4229,106371103,29601500,597.955866,,30717,106518139,29595245,833.938055
4246,106440940,29465952,391.713593,,52096,106541057,29588580,1659.715471
4248,106441399,29460345,635.070169,,52097,106535084,29591198,1672.063657
4250,106429741,29465108,818.17228,,113-1,经度,维度,25523.71107
4251,106422961,29449004,719.263478,,52098,106553813,29581293,1120.458834
4252,106427869,29436148,800.871656,,52099,106549135,29578449,1392.179023
4253,106427229,29424106,857.169469,,52101,106556410,29584684,1642.513995
4319,106367644,29601846,1044.317137,,52102,106540853,29575756,1635.321038
4320,106371103,29601500,1026.287004,,52103,106536728,29576454,1821.392179
4321,106379673,29598825,1223.683117,,52104,106531995,29579236,1993.287038
4322,106451651,29563498,734.409375,,52105,106520777,29586170,1822.01243
4323,106455570,29559599,620.622152,,52106,106508510,29585944,1904.626584
4324,106453999,29557397,847.908684,,52107,106502201,29580075,1613.897601
4325,106441630,29561439,839.340713,,52108,106496597,29577200,1344.632946
4326,106439199,29561193,821.710141,,52109,106487703,29572115,1824.925358
4327,106435683,29557430,834.251963,,52110,106480106,29568231,1722.685254
4328,106435384,29553662,909.570561,,52111,106467842,29562747,1855.890373
4330,106430300,29548907,730.574147,,52112,106524464,29584254,1697.166769
4334,106428985,29557554,299.180139,,52113,106493968,29574840,1531.868489
4335,106430525,29554544,579.950336,,52114,106462515,29560938,600.853154
4336,106430028,29552353,675.357139,,113-2,经度,维度,27138.99926
4338,106437142,29553107,859.981772,,672,106459216,29557396,1218.717514
4339,106439517,29552773,852.528818,,673,106462515,29560938,1626.363549
4340,106446839,29552042,831.486413,,674,106468018,29562795,1710.358357
4341,106450637,29549264,681.742567,,675,106480106,29568231,1484.527983
4342,106453086,29549732,778.432863,,676,106487963,29572157,1651.55961
4343,106454436,29553474,754.840596,,677,106497152,29577687,1635.343619
4376,106300126,29559697,2150.712116,,678,106503607,29581640,1720.11873
4377,106303753,29565876,2486.7033,,679,106508498,29585944,1765.305248
